diagnosis_code,ccsr_default,ccsr_1,ccsr_2,ccsr_3,ccsr_4,ccsr_5,ccsr_6,mapping_type,relationship
D508,BLD001,BLD001,,,,,,Direct,
D509,BLD001,BLD001,,,,,,Direct,
D500,BLD001,BLD001,,,,,,Direct,
D538,BLD001,BLD001,,,,,,Direct,
D539,BLD001,BLD001,,,,,,Direct,
D529,BLD001,BLD001,,,,,,Direct,
D531,BLD001,BLD001,,,,,,Direct,
D510,BLD001,BLD001,,,,,,Direct,
D519,BLD001,BLD001,,,,,,Direct,
D528,BLD001,BLD001,,,,,,Direct,
D511,BLD001,BLD001,,,,,,Direct,
D518,BLD001,BLD001,,,,,,Direct,
D530,BLD001,BLD001,,,,,,Direct,
D591,BLD002,BLD002,,,,,,Direct,
D594,BLD002,BLD002,,,,,,Direct,
D593,BLD002,BLD002,,,,,,Direct,
D580,BLD002,BLD002,,,,,,Direct,
D550,BLD002,BLD002,,,,,,Direct,
D589,BLD002,BLD002,,,,,,Direct,
D599,BLD002,BLD002,,,,,,Direct,
D561,BLD002,BLD002,,,,,,Direct,
D598,BLD002,BLD002,,,,,,Direct,
D595,BLD002,BLD002,,,,,,Direct,
D569,BLD002,BLD002,,,,,,Direct,
D596,BLD002,BLD002,,,,,,Direct,
D588,BLD002,BLD002,,,,,,Direct,
D649,BLD003,BLD003,,,,,,Direct,
D618,BLD003,BLD003,,,,,,Automatic,Children
D619,BLD003,BLD003,,,,,,Direct,
D644,BLD003,BLD003,,,,,,Direct,
D638,BLD003,BLD003,,,,,,Direct,
D609,BLD003,BLD003,,,,,,Direct,
D641,BLD003,BLD003,,,,,,Direct,
D600,BLD003,BLD003,,,,,,Direct,
D62,BLD004,BLD004,,,,,,Direct,
D570,BLD005,BLD005,,,,,,Automatic,Children
D571,BLD005,BLD005,,,,,,Direct,
D572,BLD005,BLD005,,,,,,Automatic,Children
D573,BLD005,BLD005,,,,,,Direct,
D696,BLD006,BLD006,,,,,,Direct,
D695,BLD006,BLD006,,,,,,Automatic,Children
D6938,BLD006,BLD006,,,,,,Automatic,Parents
D683,BLD006,BLD006,,,,,,Automatic,Children
D694,BLD006,BLD006,,,,,,Automatic,Children
D684,BLD006,BLD006,,,,,,Direct,
D680,BLD006,BLD006,,,,,,Direct,
D686,BLD006,BLD006,,,,,,Automatic,Children
D685,BLD006,BLD006,,,,,,Automatic,Children
D682,BLD006,BLD006,,,,,,Direct,
D66,BLD006,BLD006,,,,,,Direct,
D690,BLD006,BLD006,CIR037,,,,,Direct,
D699,BLD006,BLD006,,,,,,Direct,
D67,BLD006,BLD006,,,,,,Direct,
D6930,BLD006,BLD006,,,,,,Automatic,Parents
D689,BLD006,BLD006,,,,,,Direct,
D65,BLD006,BLD006,,,,,,Direct,
D692,BLD006,BLD006,,,,,,Direct,
D691,BLD006,BLD006,,,,,,Direct,
D698,BLD006,BLD006,,,,,,Direct,
D688,BLD006,BLD006,,,,,,Direct,
D700,BLD007,BLD007,,,,,,Direct,
D761,BLD007,BLD007,,,,,,Direct,
D763,BLD007,BLD007,,,,,,Direct,
D760,BLD007,BLD007,,,,,,Automatic,Siblings
D762,BLD007,BLD007,,,,,,Direct,
