diagnosis_code,ccsr_default,ccsr_1,ccsr_2,ccsr_3,ccsr_4,ccsr_5,ccsr_6,mapping_type,relationship
A009,DIG001,DIG001,INF003,,,,,direct,
A010,INF003,INF003,,,,,,automatic,Children
A020,DIG001,DIG001,INF003,,,,,direct,
A021,INF002,INF002,INF003,,,,,direct,
A022,INF003,INF003,,,,,,automatic,Children
A028,INF003,INF003,,,,,,direct,
A029,DIG001,DIG001,INF003,,,,,direct,
A030,DIG001,DIG001,INF003,,,,,direct,
A039,DIG001,DIG001,INF003,,,,,direct,
A040,DIG001,DIG001,INF003,,,,,direct,
A041,DIG001,DIG001,INF003,,,,,direct,
A043,DIG001,DIG001,INF003,,,,,direct,
A045,DIG001,DIG001,INF003,,,,,direct,
A046,DIG001,DIG001,INF003,,,,,direct,
A047,DIG001,DIG001,INF003,,,,,direct,
A048,DIG001,DIG001,INF003,,,,,direct,
A049,DIG001,DIG001,INF003,,,,,direct,
A051,INF005,INF005,,,,,,direct,
A052,INF005,INF005,,,,,,direct,
A058,INF005,INF005,,,,,,direct,
A059,INF005,INF005,,,,,,direct,
A060,DIG001,DIG001,INF009,,,,,direct,
A071,DIG001,DIG001,INF009,,,,,direct,
A072,DIG001,DIG001,INF009,,,,,direct,
A080,DIG001,DIG001,INF008,,,,,direct,
A081,DIG001,DIG001,INF008,,,,,automatic,Children
A082,DIG001,DIG001,INF008,,,,,direct,
A083,DIG001,DIG001,INF008,,,,,automatic,Children
A084,DIG001,DIG001,INF008,,,,,direct,
A085,DIG001,DIG001,,,,,,automatic,Siblings
A090,DIG001,DIG001,INF009,,,,,automatic,Parents
A099,DIG001,DIG001,INF009,,,,,automatic,Parents
A150,INF001,INF001,,,,,,direct,
A151,INF001,INF001,,,,,,automatic,Siblings
A152,INF001,INF001,,,,,,automatic,Siblings
A153,INF001,INF001,,,,,,automatic,Siblings
A156,INF001,INF001,RSP011,,,,,direct,
A157,INF001,INF001,RSP016,,,,,direct,
A158,INF001,INF001,RSP016,,,,,direct,
A159,INF001,INF001,RSP016,,,,,direct,
A161,INF001,INF001,,,,,,automatic,Extended Family
A162,INF001,INF001,,,,,,automatic,Extended Family
A168,INF001,INF001,,,,,,automatic,Extended Family
A169,INF001,INF001,,,,,,automatic,Extended Family
A180,INF001,INF001,,,,,,automatic,Children
A182,INF001,INF001,,,,,,direct,
A183,INF001,INF001,,,,,,automatic,Children
A184,INF001,INF001,,,,,,direct,
A188,INF001,INF001,,,,,,automatic,Children
A199,INF001,INF001,,,,,,direct,
A219,INF003,INF003,,,,,,direct,
A239,INF003,INF003,,,,,,direct,
A260,INF003,INF003,,,,,,direct,
A267,INF002,INF002,INF003,,,,,direct,
A268,INF003,INF003,,,,,,direct,
A269,INF003,INF003,,,,,,direct,
A270,INF003,INF003,,,,,,direct,
A279,INF003,INF003,,,,,,direct,
A281,INF003,INF003,,,,,,direct,
A288,INF003,INF003,,,,,,direct,
A289,INF003,INF003,,,,,,direct,
A310,RSP002,INF003,RSP002,,,,,direct,
A318,INF003,INF003,,,,,,direct,
A319,INF003,INF003,,,,,,direct,
A321,INF003,INF003,,,,,,automatic,Children
A327,INF002,INF002,INF003,,,,,direct,
A329,INF003,INF003,,,,,,direct,
A370,INF003,INF003,,,,,,automatic,Children
A379,INF003,INF003,,,,,,automatic,Children
A389,INF003,INF003,,,,,,direct,
A390,NVS001,INF003,NVS001,,,,,direct,
A392,INF002,INF002,INF003,,,,,direct,
A394,INF002,INF002,INF003,,,,,direct,
A399,INF003,INF003,,,,,,direct,
A400,INF002,INF002,INF003,,,,,direct,
A401,INF002,INF002,INF003,,,,,direct,
A402,INF002,INF002,INF003,,,,,automatic,Siblings
A403,INF002,INF002,INF003,,,,,direct,
A408,INF002,INF002,INF003,,,,,direct,
A409,INF002,INF002,INF003,,,,,direct,
A410,INF002,INF002,INF003,,,,,automatic,Children
A411,INF002,INF002,INF003,,,,,direct,
A412,INF002,INF002,INF003,,,,,direct,
A413,INF002,INF002,INF003,,,,,direct,
A414,INF002,INF002,INF003,,,,,direct,
A415,INF002,INF002,INF003,,,,,automatic,Children
A418,INF002,INF002,,,,,,automatic,Children
A419,INF002,INF002,INF003,,,,,direct,
A420,INF003,INF003,,,,,,direct,
A429,INF003,INF003,,,,,,direct,
A439,INF003,INF003,,,,,,direct,
A449,INF003,INF003,,,,,,direct,
A469,SKN001,INF003,SKN001,,,,,automatic,Parents
A480,INF003,INF003,,,,,,direct,
A481,RSP002,INF003,RSP002,,,,,direct,
A483,INF003,INF003,,,,,,direct,
A488,INF003,INF003,,,,,,direct,
A490,INF003,INF003,,,,,,automatic,Children
A491,INF003,INF003,,,,,,direct,
A492,INF003,INF003,,,,,,direct,
A493,INF003,INF003,,,,,,direct,
A498,INF003,INF003,,,,,,direct,
A499,INF003,INF003,,,,,,direct,
A521,INF010,INF010,,,,,,automatic,Children
A523,INF010,INF010,NVS003,,,,,direct,
A539,INF010,INF010,,,,,,direct,
A540,INF010,INF010,,,,,,automatic,Children
A545,INF010,INF010,RSP006,,,,,direct,
A546,INF010,DIG015,INF010,,,,,direct,
A549,INF010,INF010,,,,,,direct,
A560,INF010,INF010,,,,,,automatic,Children
A600,INF010,INF008,INF010,,,,,automatic,Children
A601,INF010,DIG015,INF008,INF010,,,,direct,
A609,INF010,DIG015,INF008,INF010,,,,direct,
A630,INF010,DIG015,INF008,INF010,,,,direct,
A649,INF010,INF010,,,,,,automatic,Parents
A689,INF009,INF009,,,,,,direct,
A692,INF009,INF009,,,,,,automatic,Children
A699,INF009,INF009,,,,,,direct,
A709,INF003,INF003,,,,,,automatic,Parents
A749,INF003,INF003,,,,,,direct,
A779,INF009,INF009,,,,,,direct,
A789,INF003,INF003,,,,,,automatic,Parents
A799,INF009,INF009,,,,,,direct,
A810,NVS003,INF008,NVS003,,,,,automatic,Children
A812,NVS003,INF008,NVS003,,,,,direct,
A829,NVS003,INF008,NVS003,,,,,direct,
A850,NVS002,INF008,NVS002,,,,,direct,
A858,NVS002,INF008,NVS002,,,,,direct,
A869,INF008,INF008,NVS002,,,,,automatic,Parents
A870,NVS001,INF008,NVS001,,,,,direct,
A872,NVS001,INF008,NVS001,,,,,direct,
A878,NVS001,INF008,NVS001,,,,,direct,
A879,NVS001,INF008,NVS001,,,,,direct,
A881,NVS003,INF008,NVS003,,,,,direct,
A899,NVS003,INF008,NVS003,,,,,automatic,Parents
A970,INF008,INF008,,,,,,automatic,Extended Family
A979,INF008,INF008,,,,,,automatic,Extended Family
A985,INF008,INF008,,,,,,direct,
A999,INF008,INF008,,,,,,automatic,Parents
B000,SKN007,INF008,SKN007,,,,,direct,
B001,SKN007,INF008,SKN007,,,,,direct,
B002,DIG003,DIG003,INF008,RSP006,,,,direct,
B003,NVS001,INF008,NVS001,,,,,direct,
B004,NVS002,INF008,NVS002,,,,,direct,
B005,INF008,INF008,,,,,,automatic,Children
B008,INF008,INF008,,,,,,automatic,Children
B009,INF008,INF008,,,,,,direct,
B010,NVS001,INF008,NVS001,,,,,direct,
B011,INF008,INF008,,,,,,automatic,Children
B012,RSP002,INF008,RSP002,,,,,direct,
B019,INF008,INF008,,,,,,direct,
B020,NVS002,INF008,NVS002,,,,,direct,
B021,NVS001,INF008,NVS001,,,,,direct,
B022,INF008,INF008,,,,,,automatic,Children
B023,INF008,INF008,,,,,,automatic,Children
B027,INF008,INF008,,,,,,direct,
B028,INF008,INF008,,,,,,direct,
B029,INF008,INF008,,,,,,direct,
B059,INF008,INF008,,,,,,direct,
B079,INF008,INF008,,,,,,direct,
B084,DIG003,DIG003,INF008,,,,,direct,
B099,INF008,INF008,,,,,,automatic,Parents
B159,INF007,INF007,INF008,,,,,direct,
B169,INF007,INF007,INF008,,,,,direct,
B171,INF007,INF007,INF008,,,,,automatic,Children
B172,INF007,INF007,INF008,,,,,direct,
B178,INF007,INF007,INF008,,,,,direct,
B179,INF007,INF007,INF008,,,,,direct,
B180,INF007,INF007,INF008,,,,,direct,
B181,INF007,INF007,INF008,,,,,direct,
B182,INF007,INF007,INF008,,,,,direct,
B189,INF007,INF007,INF008,,,,,direct,
B190,INF007,INF007,INF008,NVS013,,,,direct,
B199,INF007,INF007,INF008,,,,,direct,
B200,INF006,INF006,,,,,,automatic,Parents
B201,INF006,INF006,,,,,,automatic,Parents
B204,INF006,INF006,,,,,,automatic,Parents
B206,INF006,INF006,,,,,,automatic,Parents
B209,INF006,INF006,,,,,,automatic,Parents
B230,INF006,INF006,,,,,,manual,Distant
B231,INF006,INF006,,,,,,manual,Distant
B232,INF006,INF006,,,,,,manual,Distant
B238,INF006,INF006,,,,,,manual,Distant
B249,INF006,INF006,,,,,,manual,Distant
B250,RSP002,INF008,RSP002,,,,,direct,
B251,INF007,INF007,INF008,,,,,direct,
B258,INF008,INF008,,,,,,direct,
B259,INF008,INF008,,,,,,direct,
B270,INF008,INF008,,,,,,automatic,Children
B271,INF008,INF008,,,,,,automatic,Children
B278,INF008,INF008,,,,,,automatic,Children
B279,INF008,INF008,,,,,,automatic,Children
B338,INF008,INF008,,,,,,direct,
B343,INF008,INF008,,,,,,direct,
B348,INF008,INF008,,,,,,direct,
B349,INF008,INF008,,,,,,direct,
B354,INF004,INF004,,,,,,direct,
B368,INF004,INF004,,,,,,direct,
B369,INF004,INF004,,,,,,direct,
B370,DIG003,DIG003,INF004,,,,,direct,
B371,RSP002,INF004,RSP002,,,,,direct,
B373,GEN018,GEN018,GEN025,INF004,,,,direct,
B377,INF002,INF002,INF004,,,,,direct,
B378,INF004,INF004,,,,,,automatic,Children
B379,INF004,INF004,,,,,,direct,
B440,RSP016,INF004,RSP016,,,,,direct,
B441,RSP016,INF004,RSP016,,,,,direct,
B448,INF004,INF004,,,,,,automatic,Children
B449,INF004,INF004,,,,,,direct,
B499,INF004,INF004,,,,,,automatic,Parents
B500,INF009,INF009,,,,,,direct,
B508,INF009,INF009,,,,,,direct,
B509,INF009,INF009,,,,,,direct,
B519,INF009,INF009,,,,,,direct,
B530,INF009,INF009,,,,,,direct,
B538,INF009,INF009,,,,,,direct,
B549,INF009,INF009,,,,,,automatic,Parents
B551,INF009,INF009,,,,,,direct,
B582,NVS002,INF009,NVS002,,,,,direct,
B599,RSP002,INF004,RSP002,,,,,automatic,Parents
B669,INF009,INF009,,,,,,direct,
B670,DIG019,DIG019,INF009,,,,,direct,
B769,INF009,INF009,,,,,,direct,
B809,INF009,INF009,,,,,,automatic,Parents
B869,INF009,INF009,,,,,,automatic,Parents
B919,INF011,INF011,NVS022,,,,,automatic,Parents
B941,INF011,INF011,NVS022,,,,,direct,
B948,INF011,INF011,,,,,,direct,
B950,INF003,INF003,,,,,,direct,
B951,INF003,INF003,,,,,,direct,
B953,INF003,INF003,,,,,,direct,
B954,INF003,INF003,,,,,,direct,
B955,INF003,INF003,,,,,,direct,
B956,INF003,INF003,,,,,,automatic,Children
B958,INF003,INF003,,,,,,direct,
B960,INF003,INF003,,,,,,direct,
B961,INF003,INF003,,,,,,direct,
B962,INF003,INF003,,,,,,automatic,Children
B963,INF003,INF003,,,,,,direct,
B964,INF003,INF003,,,,,,direct,
B965,INF003,INF003,,,,,,direct,
B967,INF003,INF003,,,,,,direct,
B968,INF003,INF003,,,,,,automatic,Children
B974,INF008,INF008,,,,,,direct,
B976,INF008,INF008,,,,,,direct,
B978,INF008,INF008,,,,,,automatic,Children
B980,INF003,INF003,,,,,,semi-automatic,Distant
B999,INF009,INF009,,,,,,direct,
C009,NEO002,NEO002,,,,,,direct,
C019,NEO002,NEO002,,,,,,automatic,Parents
C021,NEO002,NEO002,,,,,,direct,
C023,NEO002,NEO002,,,,,,direct,
C028,NEO002,NEO002,,,,,,direct,
C029,NEO002,NEO002,,,,,,direct,
C030,NEO002,NEO002,,,,,,direct,
C031,NEO002,NEO002,,,,,,direct,
C039,NEO002,NEO002,,,,,,direct,
C040,NEO002,NEO002,,,,,,direct,
C041,NEO002,NEO002,,,,,,direct,
C048,NEO002,NEO002,,,,,,direct,
C049,NEO002,NEO002,,,,,,direct,
C050,NEO002,NEO002,,,,,,direct,
C051,NEO002,NEO002,,,,,,direct,
C059,NEO002,NEO002,,,,,,direct,
C060,NEO002,NEO002,,,,,,direct,
C062,NEO002,NEO002,,,,,,direct,
C068,NEO002,NEO002,,,,,,automatic,Children
C069,NEO002,NEO002,,,,,,direct,
C079,NEO004,NEO004,,,,,,automatic,Parents
C080,NEO004,NEO004,,,,,,direct,
C090,NEO009,NEO009,,,,,,direct,
C092,NEO009,NEO009,,,,,,automatic,Siblings
C099,NEO009,NEO009,,,,,,direct,
C103,NEO003,NEO003,,,,,,direct,
C108,NEO003,NEO003,,,,,,direct,
C109,NEO003,NEO003,,,,,,direct,
C119,NEO005,NEO005,,,,,,direct,
C132,NEO006,NEO006,,,,,,direct,
C138,NEO006,NEO006,,,,,,direct,
C139,NEO006,NEO006,,,,,,direct,
C140,NEO007,NEO007,,,,,,direct,
C141,NEO007,NEO007,NEO010,,,,,semi-automatic,Close
C153,NEO012,NEO012,,,,,,direct,
C154,NEO012,NEO012,,,,,,direct,
C155,NEO012,NEO012,,,,,,direct,
C158,NEO012,NEO012,,,,,,direct,
C159,NEO012,NEO012,,,,,,direct,
C160,NEO013,NEO013,,,,,,direct,
C161,NEO013,NEO013,,,,,,direct,
C162,NEO013,NEO013,,,,,,direct,
